1000 1500
940 553 880
602 790 268
741 267 935
39 7 98
544 234 659
876 674 871
783 982 393
860 225 676
647 221 317
548 850 798
887 93 480
8 356 641
541 88 746
162 227 2
246 871 694
678 437 721
975 78 36
905 698 11
714 177 506
325 867 27
122 236 951
562 898 122
561 319 33
74 122 494
409 803 562
873 457 910
736 624 717
116 490 552
628 70 883
213 951 718
284 277 453
442 746 632
284 529 27
386 828 242
509 525 702
362 654 669
707 126 408
99 76 478
413 458 333
610 26 179
814 108 22
356 78 162
306 34 314
980 999 225
645 44 100
333 726 566
645 575 984
115 717 145
170 516 133
709 27 823
606 78 193
906 666 665
545 752 12
187 248 722
478 716 670
127 13 429
426 51 653
8 646 479
761 346 833
399 475 234
134 336 181
150 424 276
548 696 473
965 397 62
537 775 618
946 393 938
971 139 83
252 622 666
256 719 558
108 150 790
349 711 920
972 932 601
86 968 455
673 699 468
345 247 411
229 584 109
141 194 324
26 692 335
537 199 148
858 632 710
551 268 764
255 30 738
688 662 747
30 352 418
58 886 881
35 589 524
172 634 169
775 164 633
276 72 178
341 55 925
876 957 233
518 721 563
438 709 877
996 10 327
877 901 18
500 411 331
849 445 904
779 248 437
813 934 944
868 303 258
972 165 73
386 351 229
26 759 12
124 202 771
87 985 124
341 21 917
559 218 601
97 941 600
569 504 778
253 104 759
539 101 617
632 625 953
986 490 256
980 868 580
940 987 162
834 92 321
546 525 838
331 72 613
778 446 150
732 858 327
484 51 750
214 939 80
162 681 40
308 533 22
207 582 589
5 897 387
255 341 668
422 236 784
930 21 591
423 674 8
340 544 125
538 633 856
887 886 243
64 185 481
512 102 571
132 779 733
514 631 747
720 682 202
236 775 174
452 208 432
968 208 314
46 269 236
140 60 826
687 289 26
968 842 178
962 102 328
128 909 965
301 871 337
98 215 674
639 781 243
397 603 580
746 673 916
192 679 724
359 391 437
834 197 39
809 706 587
817 150 97
169 294 626
346 922 875
724 932 763
287 983 483
738 955 502
189 805 253
548 130 356
92 688 868
370 19 228
138 11 238
496 236 595
782 158 421
289 104 960
327 978 68
115 511 868
855 42 994
146 169 381
763 945 383
86 85 397
645 245 134
441 610 718
511 547 257
973 953 436
246 572 296
179 628 861
